Label;Y;X
1;11;693
1;11;694
1;12;694
1;13;694
1;14;694
1;15;694
2;12;692
2;13;692
2;14;692
3;12;693
3;12;694
3;13;694
3;14;694
3;15;694
3;11;694
3;12;692
3;13;692
3;14;692
3;11;693
4;14;663
4;14;664
4;15;663
4;16;663
5;15;665
6;15;691
6;16;691
7;16;666
7;17;666
8;16;693
8;17;693
8;18;693
8;19;693
8;20;693
8;21;693
9;17;664
9;18;664
10;17;690
10;18;690
11;18;667
12;19;665
12;20;665
12;21;665
13;19;668
14;19;689
14;20;689
14;21;689
15;20;669
15;21;669
16;22;666
16;23;666
17;22;670
18;22;688
18;23;688
19;22;692
19;23;692
19;24;692
19;25;692
19;26;692
19;27;692
19;28;692
20;23;671
20;24;671
21;24;667
21;25;667
21;26;667
22;24;687
22;25;687
23;25;672
24;26;673
25;26;686
25;27;686
25;28;686
26;27;668
26;28;668
27;27;674
27;28;674
28;29;131
28;29;132
28;30;131
28;31;131
29;29;568
29;29;569
29;29;570
29;30;568
30;29;619
30;29;620
31;29;669
31;30;669
31;31;669
32;29;675
33;29;685
33;30;685
34;29;691
34;30;691
34;31;691
34;32;691
34;33;691
34;34;691
35;29;717
36;30;133
36;31;133
37;30;571
37;30;572
37;30;573
38;30;617
38;30;618
39;30;621
40;30;676
41;30;715
41;30;716
42;30;718
43;31;569
44;31;574
44;31;575
45;31;614
45;31;615
45;31;616
46;31;620
47;31;677
47;32;677
48;31;684
48;32;684
49;31;712
49;31;713
49;31;714
50;31;717
51;32;132
51;33;132
51;34;132
51;35;132
51;36;132
51;37;132
51;38;132
52;32;134
52;33;134
52;34;134
53;32;570
53;32;571
54;32;576
54;32;577
54;32;578
55;32;611
55;32;612
55;32;613
56;32;618
56;32;619
57;32;670
57;33;670
58;32;710
58;32;711
59;32;715
59;32;716
60;33;161
60;33;162
60;34;161
61;33;572
62;33;579
62;33;580
63;33;609
63;33;610
64;33;617
65;33;678
66;33;683
66;34;683
66;35;683
67;33;707
67;33;708
67;33;709
68;33;714
69;34;163
70;34;573
71;34;581
71;34;582
71;34;583
72;34;606
72;34;607
72;34;608
73;34;616
74;34;671
74;35;671
74;36;671
75;34;679
75;35;679
76;34;704
76;34;705
76;34;706
77;34;713
78;35;135
78;36;135
79;35;160
80;35;162
80;36;162
81;35;574
82;35;584
82;35;585
82;35;586
83;35;604
83;35;605
84;35;615
85;35;690
85;36;690
85;37;690
85;38;690
85;39;690
86;35;702
86;35;703
87;35;711
87;35;712
88;36;159
89;36;575
89;36;576
90;36;587
90;36;588
91;36;601
91;36;602
91;36;603
92;36;613
92;36;614
93;36;680
94;36;682
95;36;700
95;36;701
96;36;710
97;37;136
97;38;136
97;39;136
98;37;158
98;38;158
99;37;161
99;38;161
100;37;577
101;37;589
101;37;590
101;37;591
102;37;598
102;37;599
102;37;600
103;37;612
104;37;672
104;38;672
105;37;681
106;37;697
106;37;698
106;37;699
107;37;709
108;38;578
109;38;592
109;38;593
110;38;596
110;38;597
111;38;611
112;38;644
112;38;645
112;38;646
112;38;647
112;38;648
112;38;649
112;38;650
112;39;645
112;39;644
113;38;694
113;38;695
113;38;696
114;38;707
114;38;708
115;39;133
115;40;133
115;41;133
115;42;133
115;43;133
115;44;133
115;45;133
115;46;133
116;39;157
117;39;160
117;40;160
117;41;160
118;39;579
119;39;594
119;39;595
120;39;610
121;39;651
121;39;652
121;39;653
121;39;654
121;39;655
121;39;656
121;39;657
122;39;673
122;40;673
122;41;673
123;39;692
123;39;693
124;39;706
125;40;137
125;41;137
126;40;156
127;40;580
128;40;609
129;40;646
129;40;647
129;40;648
130;40;658
130;40;659
130;40;660
130;40;661
130;40;662
130;40;663
131;40;691
132;40;704
132;40;705
133;41;155
134;41;581
134;41;582
135;41;607
135;41;608
136;41;649
136;41;650
137;41;664
137;41;665
137;41;666
137;41;667
137;41;668
137;41;669
138;41;703
139;42;138
139;43;138
139;44;138
140;42;154
140;43;154
141;42;159
141;43;159
142;42;583
143;42;606
144;42;651
144;42;652
144;42;653
145;42;670
145;42;671
145;42;672
146;42;702
147;43;584
148;43;605
149;43;654
149;43;655
150;43;700
150;43;701
151;44;153
152;44;158
152;45;158
153;44;585
154;44;603
154;44;604
155;44;656
155;44;657
156;44;699
157;45;139
157;46;139
158;45;152
159;45;586
159;45;587
160;45;602
161;45;658
161;45;659
161;45;660
162;45;698
163;46;151
163;47;151
164;46;157
164;47;157
165;46;588
166;46;601
167;46;661
167;46;662
168;46;696
168;46;697
169;47;107
169;47;108
169;48;107
170;47;134
170;48;134
170;49;134
170;50;134
170;51;134
170;52;134
170;53;134
171;47;140
171;48;140
171;49;140
172;47;589
173;47;600
174;47;663
174;47;664
175;47;695
175;48;695
176;48;109
176;48;110
176;48;111
177;48;150
178;48;156
178;49;156
178;50;156
179;48;590
179;49;590
179;50;590
179;51;590
179;52;590
180;48;599
180;49;599
180;50;599
180;51;599
180;52;599
181;48;665
181;48;666
181;48;667
182;49;108
183;49;112
183;49;113
184;49;149
185;49;668
185;49;669
186;49;696
186;49;697
187;50;109
188;50;114
188;50;115
189;50;141
189;51;141
190;50;148
190;51;148
191;50;670
191;51;670
192;50;698
192;50;699
192;50;700
193;51;110
193;51;111
194;51;116
194;51;117
194;51;118
195;51;155
195;52;155
196;51;701
196;51;702
197;52;112
198;52;119
198;52;120
199;52;142
199;53;142
199;54;142
200;52;147
201;52;669
202;52;703
202;52;704
203;53;113
204;53;121
204;53;122
205;53;146
206;53;154
206;54;154
207;53;591
207;54;591
207;55;591
207;56;591
207;57;591
207;58;591
207;59;591
208;53;598
208;54;598
208;55;598
208;56;598
208;57;598
208;58;598
209;53;667
209;53;668
210;53;705
210;53;706
210;53;707
211;54;114
211;54;115
212;54;123
212;54;124
212;54;125
213;54;135
213;55;135
213;56;135
213;57;135
214;54;145
215;54;666
216;54;708
